"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"6404","Great Old One - Arrival","Dec 3, 2018","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mahjong Knight","Mahjong Knight"
"6405","Divine Business: Fantasy Trading Simulator","Feb 19, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fatal Error Games","Fatal Error Games"
"6406","Fog of War: The Battle for Cerberus","Apr 26, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6407","非正式警探 Informal Detective","Jun 14, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SpaceMola Games","SpaceMola Games"
"6408","POLYGON: Life","Jul 31, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RGNteam","RGNteam"
"6409","A Matter of Time","Oct 16, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Haywire Game Studios","Haywire Game Studios"
"6413","Succubus Runa and the Erotic Dungeon","Nov 5, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","藤札","WASABI entertainment"
"6414","Brimstone Manor","Feb 10, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Heart's Choice","Heart's Choice"
"6415","Heart of Ember CH1","Jul 27, 2015","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Animation Catalyst","Animation Catalyst"
"6416","Empire of the Fallen Steel","Dec 18, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FutureVisionsGames","FutureVisionsGames"
"6417","Renegade Grounds: Episode 1","Aug 31, 2017","$4.99","N/A (N/A)","0 .. 20,000","44:37 (14:52)","Astronomic Games","New Reality Games"
"6418","Jida Chronicle Chaos frontier VR","Dec 28, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Iron Helmet","Iron Helmet"
"6419","The story of Gods 七神物语","Jun 26, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KMA GAMES","KMA GAMES"
"6420","PRiCERPG","Feb 26, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","tw1ZTER","tw1ZTER ENTERTAINMENT"
"6422","Starvoly","Mar 14, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zeratd Gaming","Zeratd Gaming"
"6423","Into The Eternal","Apr 15, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zero Infinite Games","Zero Infinite Games"
"6425","FOOTBALLER","Aug 11, 2021","$1","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LAERT","LA GAMES"
"6427","Shadow Angel","Sep 30, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blue Charm","Blue Charm"
"6428","ReLoaded","Jul 24, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Urbanscan","Console Classics"
"6429","Verzaken! VR Adventure","Nov 6, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","interFusion Games LLC","interFusion Games LLC"
"6430","Bold Blade","Jan 29, 2018","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ultra Runaway Games","Ultra Runaway Games"
"6431","Everyday Baseball VR","Sep 11, 2018","$9.89","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WISECAT","WISECAT"
"6432","落华居","Aug 24, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","一心社","一心社"
"6433","Dungeon and Gravestone","Apr 22, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wonderland Kazakiri inc.","Wonderland Kazakiri inc."
"6434","Gladiator: about to die","Nov 25, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pabstein Games","Pabstein Games"
"6435","A Crown of Sorcery and Steel","Oct 27, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6436","Dark ill 暗黑蛊国","Sep 27, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Liuxian","Liuxian"
"6437","Spartan VR","Aug 25, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Immergity","Immergity"
"6438","Degeneration","Aug 13, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Oktay ŞAHİN, Mustafa Anıl ÖZ, İsmet Mert AVCI","TeamPio Studio"
"6439","BeiJing Courier Simulator","May 24, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CoughCat","CoughCat Software"
"6440","Alien Kingdom","Jul 26, 2019","$4.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alien Leaf Games","Alien Leaf Games"
"6441","Cetetorius","Sep 12, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VI.SH Games","VI.SH Games"
"6442","武儒绘卷 - 启示录","Jul 7, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","武儒小生","武儒小生"
"6444","World Apart","Jan 19, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eutopia Studios","Eutopia Studios"
"6445","Tales of the Lumminai","Dec 8, 2017","$0.69","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SenRufu Studios","Sometimes You"
"6447","Milena's manor house","Aug 22, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","風間道場","Muso Project"
"6448","Dungeon Avenger","Dec 14, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Neural Netting","Neural Netting"
"6449","Midnight's Blessing 2","Jan 20, 2017","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Warfare Studios","Warfare Studios"
"6450","PearsAndGrayWitch","Jan 1, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YAOYICHEN","YAOYICHEN"
"6451","Capsella The Lights of Lucern","Jun 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bravery Software","Bravery Software"
"6452","时间旅者(TimeWalker)","May 31, 2019","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","前海驮骡","前海驮骡"
"6453","Lynium","Nov 19, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Carlos Arturo Rodriguez Silva","Carlos Arturo Rodriguez Silva"
"6454","Retro three kingdoms : Special edition","Apr 11, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Retro Republic LLC","Retro Republic LLC"
"6455","Arcane Maelstrom","Apr 14, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YellowEgg game studios","Vilar Ingeniería de Software S.L."
"6456","Volkstein","Mar 20, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Andrew Augustine, Zach Augustine, Alex Bade","Monkeystein Games"
"6457","Time of Shadows","Sep 11, 2009","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SkyFallen Entertainment, 1C Company, 1C-SoftClub","Kalypso Media Digital"
"6458","a Family of Grave Diggers","Mar 31, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ludvig Larsson","Mindoki Games"
"6459","Clumsy Knight 2","Mar 30, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BIG WOOD GAMES","BIG WOOD GAMES"
"6460","江湖乐子人","Dec 21, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","乐子人","乐子人"
"6462","Moonfall Ultimate","Sep 4, 2018","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fishcow Studio","Wales Interactive"
"6463","HORDE Survival","Sep 27, 2022","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WDS Games","WDS Games"
"6464","VALENS","Feb 18, 2016","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digitallion","Digitallion"
"6465","Fantasy Hero Manager","May 23, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mykel Flynn","Mykel Flynn"
"6466","The Hero Project: Open Season","Apr 5, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6467","Thalassophobia","Jul 24, 2021","$2.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thuleanpanteon","Panzershark"
"6468","Purgatory: War of the Damned","Feb 11, 2015","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ironsun Studios","KISS ltd"
"6469","Good Morning","Mar 12, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nicholas Rizzo","Nicholas Rizzo"
"6470","Shards of Eradine","Nov 7, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CryptidTech","CryptidTech"
"6471","江湖侠客行","May 4, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ShinerJoy Technology Co., Ltd.","ShinerJoy Technology Co., Ltd."
"6472","Secret Girl","Feb 18, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Original Gam","Original Gam"
"6473","Exile to Death","Jun 1, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aleksei Milchakov","Manifestors Games Studio"
"6474","Click and Slay","Mar 18, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Click and Slay Studios","Click and Slay Studios"
"6475","Adventure Academia: The Fractured Continent","Sep 7, 2022","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ACQUIRE Corp.","ACQUIRE Corp."
"6476","Haldor","Apr 20, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","URDevTeam","Metal Fox"
"6478","Confederate Express","Apr 10, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Maksym Pashanin","Maksym Pashanin"
"6480","Landstalker: The Treasures of King Nole","Jan 26, 2011","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"6481","Dungeoneer","Dec 11, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Paul Boland","Paul Boland"
"6482","Explosive Dinosaurs","Dec 6, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RAWR Lab","RAWR Lab"
"6483","新世勇者传","Jun 26, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","我在新华学电脑","我在新华学电脑"
"6484","Fables of Talumos","Sep 1, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cheesemaster Games","Cheesemaster Games"
"6485","Xander the Monster Morpher: Universe Breaker","Aug 2, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Karatkuro","Karatkuro"
"6486","Asdivine Menace","Aug 7, 2019","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exe Create Inc.","KEMCO"
"6487","Monochrome Order","Sep 10, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hit-Point Co.,Ltd.","KEMCO"
"6488","魂之大陆 Soultia","Nov 1, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pisces Studio","Pisces Game"
"6489","D20 Dungeons","Nov 11, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lone Dwarf Games Inc","Lone Dwarf Games Inc"
"6490","Tower Of Heresy","Jan 9, 2020","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rattingham Studios","Rattingham Studios"
"6491","Pon Para and the Unconquerable Scorpion","Dec 17, 2020","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6492","How To Make A Killing","Jul 31, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","0Dark&Nerdy","0Dark&Nerdy"
"6494","Block Sumo","Feb 16, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","彳亍工房","彳亍工房"
"6496","The Other: Rosie's Road of Love","May 13, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rabbiton","Rabbiton"
"6498","Cycled","Jul 11, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TwistedNail","TwistedNail"
"6499","วีรบุรุษไร้พลัง ไข่ต้ม","Jun 17, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OKCITY","OKCITY"
"6500","Jettatura","Oct 15, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nick Baker","Kyoto Cybernetics"
"6501","I Can't Hear Your Words, So I Want To Listen To Your Heart","Aug 30, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","箱崎奈绪(Hakozaki Nao)","箱崎奈绪(Hakozaki Nao)"
"6502","Night Flight","Aug 20, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shao Indie","Shao Indie"
"6503","Orcen Axe","Nov 15, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","origamihero games","origamihero games"
"6505","Death Rings of Jupiter","Dec 1, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Albatross Wirehead","Albatross Wirehead"
"6506","The Capture Worlds","Apr 20, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WorldsDev","WorldsDev"
"6507","Achaem","Jul 18, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eat All The Games","Eat All The Games"
"6508","七夜怪谈 - 都市校园禁锢传说","Sep 20, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atansoft","Atansoft"
"6509","Mariner Accident","Oct 10, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Accident Games Studio","Accident Games Studio"
"6510","Heart Chain Kitty","Nov 23, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","origamihero games","origamihero games"
"6511","Diaper Quest 2055","Nov 26, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brewsterland Studios","Brewsterland Studios"
"6512","Totem Force","Apr 4, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hosted Games","Hosted Games"
"6514","Just Random Squares","Aug 23, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PN","PN"
"6515","The Innkeeper","Apr 3, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Game Brewery","Game Brewery"
"6516","Blind Blade II","Apr 9, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beijing Weimo Tech","Beijing Weimo Tech"
"6517","Programmer Dungeon Knightress","Sep 22, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dragon Lord Studio","Dragon Lord Studio"
"6518","Dragon Lapis","Oct 1, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exe Create Inc.","KEMCO"
"6520","BrightSeeker","Sep 30, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Miroslav Prokop","Miroslav Prokop"
"6521","One Last Dungeon","Dec 24, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thawmus","Thawmus"
"6522","Tower Defense Hero","Jan 2, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SRN Game Studio","SRN Game Studio"
"6524","荣光的见证 Glory's Witness","Jan 20, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KASADE Studio","KASADE Studio"
"6525","Hisato no Saku","Sep 17, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elder Tree Games, Binary Solo","Seth Gorden"
"6527","CESSPOOL","Oct 28, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Guillaume ""Tryton"" Collignon","Radio Cloaque"
"6528","Social Services of the Doomed","Jun 23, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6529","Mad Wild Fairy Tale","Oct 24, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Morozov Sergey","Morozov Sergey"
"6530","MY TIME ALIVE","Aug 3, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Barty Games","Barty Games"
"6531","Magic Manny","Jul 30, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Archor Wright","Archor Games"
"6532","Frontier of Fortune","Oct 19, 2021","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dotomchi Games Inc.","Dotomchi Games Inc."
"6533","Nova Odessa - The Demon Trainer","Jun 2, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Leonardo Alexandrino","Leonardo Alexandrino"
"6536","Burial Stone","Jun 30, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ofer Rubinstein","Ofer Rubinstein"
"6537","Underground Dungeon","Mar 9, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PASTEL","PASTEL"
"6538","Welcome To The Backrooms","Oct 27, 2022","$12.74","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brickmade Productions","Brickmade Productions"
"6540","Blade of Arena - 劍鬥界域","Oct 15, 2020","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Regan Kan, Kooya","Regan Kan"
"6541","Planet Nine","Feb 18, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jötunn Games","Jötunn Games"
"6542","Fated Era","Feb 11, 2019","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dogless Head Games","Dogless Head Games"
"6543","Sephirothic Stories","Mar 14, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exe Create Inc.","KEMCO"
"6546","Awaken The Time","May 4, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gajda Cristian Vasile","Gacriva Studio"
"6547","Coof Attack","Dec 1, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Basement Owl","Basement Owl"
"6548","Bring Dad Home","Jun 24, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Poler Studio","Poler Studio"
"6549","Battle Hunters","Nov 4, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Phase Two Games Pty. Ltd.","Phase Two Games Pty. Ltd."
"6550","故乡的记忆：味缘篇","Sep 16, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","应龙游戏","应龙互娱"
"6551","The Tides of Time","Nov 30, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ohana Studio","Ohana Studio"
"6552","All is Fair in Dust and Air","Sep 21, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Broken Hammer Games, LLC","Broken Hammer Games, LLC"
"6553","Shonen Adventure : The Dual Blades Hero","Dec 23, 2021","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Melvyn Boutel","Melvyn Boutel"
"6554","Animation Studio Manager","Apr 8, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","David Estes Creations","David Estes Creations"
"6556","عالم أريب","Nov 2, 2015","$54.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Remal IT","Remal IT"
"6557","Watson's Watch","Jun 6, 2016","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Retro Warp Gaming","Retro Warp Gaming"
"6558","Break Through: Artificial Maze","Jul 12, 2016","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SUN MONKEY Games","SUN MONKEY Games"
"6560","Choice of the Star Captain","Sep 26, 2012","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6561","Pixel Stories of Dungeon","May 7, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PowerGaelic","PowerGaelic"
"6562","Prelude for a Dream","Jun 27, 2017","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Diego Fernandes Malinowsky, Daniel Fernandes Malinowsky, Altanir Aparecida Fernandes Malinowsky","Diego Fernandes Malinowsky"
"6563","Sugy the Christmas elf","Dec 6, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Game Alchemists","Game Alchemists"
"6564","Choice or Fate","Jan 9, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Branching Conditions","Branching Conditions"
"6565","Moonlight thief","Apr 26, 2019","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alpheratz*","Alpheratz*"
"6566","守护传说 Guardian Legend","Sep 3, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SL","SL"
"6567","Birthright","Oct 22, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Red Ink Production","Red Ink Production"
"6568","It's Six Random Characters and a Single Floor Dungeon, That's the Whole Game","Nov 2, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cannibal Interactive","Cannibal Interactive"
"6569","Kaputte Kranz Chap1","Jan 28, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sticky Rice","Sticky Rice"
"6570","Terra Ventura","Sep 5, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Logical Progression Games","Logical Progression Games"
"6571","Brave Dungeon - The Meaning of Justice -","Feb 18, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","INSIDE SYSTEM","INSIDE SYSTEM"
"6572","The Sargosian Abyss","May 27, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Esturia Games","Esturia Games"
"6573","qingping Bookstore","Jun 30, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","qingping","qingping"
"6574","Anomalous Zone ███","Aug 18, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","STF1619","Anasta"
"6575","Venture Forth","Jun 20, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Arclight Worlds","Indie Voyage"
"6576","Guardian war VR","Aug 16, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","重庆焱玩网络科技有限公司","重庆焱玩网络科技有限公司"
"6577","Werther Quest","Jan 18, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blueberry Studio","HCP Entertainment"
"6578","Radiant Crusade","Apr 5, 2017","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Radiance Games","Radiance Games"
"6579","Fateholders of Tetsoidea","Jul 20, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brewsterland Studios","Brewsterland Studios"
"6580","Atoms","Feb 8, 2018","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","视趣互动","视趣互动"
"6581","Cube Universe","Apr 24, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beosar","Beosar"
"6582","Pirates of the Asteroid Belt VR","Oct 24, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Garden Horse Studio","Garden Horse Studio"
"6583","Mazovian Adventure","Feb 5, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","XQG Software","XQG Software"
"6584","Indoor Sniper Shooting Alpha Strike in Corona Virus Lockdown","May 12, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enaayah Software Development and Services Private Limited","Enaayah Software Development and Services Private Limited"
"6585","Wild West Survival","Jul 31, 2020","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Altair Games LLC","Altair Games LLC"
"6586","Dungeon Warriors","Oct 1, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ant Design Games","Ant Design Games"
"6587","Third Wild","Aug 3, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","landing man studio","landing man studio"
"6588","Challenge of the Five Realms: Spellbound in the World of Nhagardia","Jan 1, 1992","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MicroProse Software, Inc","Retroism, Nightdive Studios"
"6589","Super GunWorld 2","May 13, 2016","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","m07games","m07games"
"6590","Suppressed","Oct 12, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Angela He","Angela He"
"6591","The Fleet","Nov 30, 2012","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6592","Champions of Odin","Aug 25, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hybris Studios","Hybris Studios"
"6593","Lantern of Worlds","Oct 5, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fasold Games","Fasold Games"
"6594","Choice of the Ninja","Nov 17, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6595","The Ino Chronicles: Ascension","Mar 30, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chromethean Productions","Chromethean Productions"
"6596","BadLands RoadTrip","Apr 5, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Obsessive Science Games","Obsessive Science Games"
"6597","Posthuman: Sanctuary","Jul 27, 2018","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mighty Box","Mighty Box"
"6598","New World Horizon","Feb 14, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","New World Horizon LLC","New World Horizon LLC"
"6599","Forlorn","May 6, 2022","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rainmade Games","Rainmade Games"
"6600","ReVeN: XBridge","May 22, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Varia Games","Varia Games"
"6601","Congresswolf","Oct 28, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6602","The Great Story of a Mighty Hero - Remastered","Jun 5, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DeanForge","DeanForge"
"6603","Tower Behind the Moon","Dec 20, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6608","RogueClick","Mar 2, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chrysolite Software","Chrysolite Software"
"6609","State of Extinction","Nov 29, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stone Pixel Games, LLC.","Stone Pixel Games, LLC."
"6610","Hue Defense","Jul 6, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brave Wolf Studio","Brave Wolf Studio"
"6611","INSIDE LIGHT","Aug 17, 2020","$0.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LOSEDEAD","LOSEDEAD"
"6612","重返现场","Nov 23, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","欢乐不二","CubeGame"
"6613","Unheard Screams - King Leopold II's Rule Over The Congo","May 11, 2015","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Locomotivah","Locomotivah"
"6614","Shadows and Lies","Jun 19, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aldorlea Games","Aldorlea Games"
"6615","Bloodwych","Mar 26, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Image Works","MIRROR Soft"
